scenario,round,rate,hold_s,from,to,k6_reqs,k6_p50_ms,k6_p95_ms,k6_failed_share,k6_completed,k6_rejected
purchase,1,5,60,2026-09-02T15:59:30Z,2026-09-02T16:00:41Z,2000,8.88,18.93,0,300,
purchase,1,10,60,2026-09-02T16:00:56Z,2026-09-02T16:02:12Z,3802,8.72,18.18,0,601,
purchase,1,20,60,2026-09-02T16:02:27Z,2026-09-02T16:03:59Z,7402,8.74,17.98,0,1201,
purchase,1,40,60,2026-09-02T16:04:14Z,2026-09-02T16:06:16Z,14600,8.53,17.69,0,2400,
purchase,2,5,60,2026-09-02T16:06:31Z,2026-09-02T16:07:41Z,2000,8.52,18.81,0,300,
purchase,2,10,60,2026-09-02T16:07:56Z,2026-09-02T16:09:12Z,3802,8.55,18.31,0,601,
purchase,2,20,60,2026-09-02T16:09:27Z,2026-09-02T16:10:59Z,7402,8.67,17.56,0,1201,
purchase,2,40,60,2026-09-02T16:11:14Z,2026-09-02T16:13:16Z,14602,8.57,18.28,0,2401,
purchase,3,5,60,2026-09-02T16:13:31Z,2026-09-02T16:14:41Z,2002,8.39,18.81,0,301,
purchase,3,10,60,2026-09-02T16:14:56Z,2026-09-02T16:16:13Z,3802,8.7,18.1,0,601,
purchase,3,20,60,2026-09-02T16:16:28Z,2026-09-02T16:17:59Z,7402,8.72,17.21,0,1201,
purchase,3,40,60,2026-09-02T16:18:15Z,2026-09-02T16:20:16Z,14602,8.56,18.6,0,2401,
