scenario,round,rate,hold_s,from,to,k6_reqs,k6_p50_ms,k6_p95_ms,k6_failed_share,k6_completed,k6_rejected
screens,1,25,90,2026-09-02T15:11:25Z,2026-09-02T15:12:57Z,2431,4.06,11.13,0,,
screens,1,50,90,2026-09-02T15:13:12Z,2026-09-02T15:14:45Z,4680,3.36,8.66,0,,
screens,1,100,90,2026-09-02T15:15:00Z,2026-09-02T15:16:33Z,9181,2.9,6.96,0,,
screens,1,200,90,2026-09-02T15:16:48Z,2026-09-02T15:18:20Z,18181,2.48,6.47,0,,
screens,1,400,90,2026-09-02T15:18:35Z,2026-09-02T15:20:08Z,36181,2.14,6.11,0,,
screens,2,25,90,2026-09-02T15:20:23Z,2026-09-02T15:21:55Z,2431,3.35,9.92,0,,
screens,2,50,90,2026-09-02T15:22:10Z,2026-09-02T15:23:42Z,4681,3.07,7.57,0,,
screens,2,100,90,2026-09-02T15:23:57Z,2026-09-02T15:25:30Z,9181,2.82,6.48,0,,
screens,2,200,90,2026-09-02T15:25:45Z,2026-09-02T15:27:17Z,18181,2.46,5.89,0,,
screens,2,400,90,2026-09-02T15:27:32Z,2026-09-02T15:29:05Z,36181,2.17,6.21,0,,
screens,3,25,90,2026-09-02T15:29:20Z,2026-09-02T15:30:52Z,2431,3.15,9.01,0,,
screens,3,50,90,2026-09-02T15:31:07Z,2026-09-02T15:32:39Z,4681,3.03,6.94,0,,
screens,3,100,90,2026-09-02T15:32:54Z,2026-09-02T15:34:27Z,9181,2.82,6.35,0,,
screens,3,200,90,2026-09-02T15:34:42Z,2026-09-02T15:36:14Z,18181,2.49,5.97,0,,
screens,3,400,90,2026-09-02T15:36:29Z,2026-09-02T15:38:01Z,36181,2.17,6.42,0,,
