ts,server_cpu_pct,server_mem_mib,server_fds,postgres_cpu_pct,postgres_mem_mib,postgres_connections,broker_cpu_pct,broker_mem_mib,broker_disk_mib,outbox_rows,ledger_rows,usage_rows,gc_last_pause_ms,gc_lines
2026-09-03T21:24:27Z,0.64,167.8,155,0.06,67.74,11,0.23,56.75,1,68,102,75,2.006,61
2026-09-03T21:25:34Z,7.40,169.7,155,0.09,68.41,11,6.94,60.14,1,110,165,135,4.257,67
2026-09-03T21:26:41Z,6.32,185.8,167,0.79,68.92,11,0.19,58.7,1,114,171,135,2.416,78
2026-09-03T21:27:47Z,6.75,186.8,166,8.05,69.42,11,0.21,58.87,1,118,177,135,2.989,88
2026-09-03T21:28:54Z,16.11,187.5,166,4.53,69.45,11,0.33,59.19,1,122,183,135,1.455,97
2026-09-03T21:30:01Z,1.64,188.5,165,0.49,69.5,11,1.36,59.34,2,126,189,135,1.701,105
2026-09-03T21:31:08Z,5.85,190,167,5.24,69.51,11,0.21,59.79,2,132,198,135,2.230,114
2026-09-03T21:32:14Z,8.51,190.3,167,0.62,70.45,11,0.47,60.01,2,136,204,135,1.766,122
2026-09-03T21:33:21Z,6.16,190.5,166,4.52,69.57,11,0.35,60.7,2,140,210,135,2.317,131
2026-09-03T21:34:28Z,5.85,191.3,166,8.16,69.59,11,0.18,60.88,2,144,216,135,1.082,139
2026-09-03T21:35:34Z,1.65,191.5,166,0.47,69.6,11,0.91,66.43,2,150,225,135,1.751,148
2026-09-03T21:36:41Z,2.10,192,166,0.56,69.62,11,0.76,66.86,2,154,231,135,2.447,156
2026-09-03T21:37:48Z,2.67,192.4,166,3.57,69.65,11,0.19,67.11,3,158,237,135,3.396,165
2026-09-03T21:38:54Z,1.75,195.9,165,5.12,69.74,11,0.53,67.27,3,162,243,135,1.484,175
2026-09-03T21:40:01Z,6.88,196,166,3.78,69.82,11,0.25,67.41,3,166,249,135,1.702,185
2026-09-03T21:41:08Z,4.64,196.4,166,0.39,69.86,11,0.15,67.77,3,172,258,135,1.771,195
2026-09-03T21:42:14Z,2.06,196.6,166,2.88,69.83,11,0.27,67.92,3,176,264,135,3.403,203
2026-09-03T21:43:21Z,7.61,197,167,0.22,67.99,11,0.17,68.08,3,180,270,135,1.414,212
2026-09-03T21:44:28Z,1.57,197,165,2.73,68.02,11,0.14,68.24,4,184,276,135,2.111,221
2026-09-03T21:45:34Z,1.30,197.3,166,9.48,68.05,11,0.23,68.5,4,190,285,135,1.356,229
2026-09-03T21:46:41Z,8.15,197.4,166,0.46,68.04,11,0.16,68.64,4,194,291,135,3.133,238
2026-09-03T21:47:48Z,5.34,197.7,166,0.52,68.04,11,0.19,68.78,4,198,297,135,5.086,246
2026-09-03T21:48:54Z,2.09,198,166,7.35,67.03,11,0.20,69.05,4,202,303,135,3.521,255
2026-09-03T21:50:01Z,3.27,198.1,165,4.64,66.35,11,0.15,69.2,4,206,309,135,1.349,264
2026-09-03T21:51:08Z,2.53,198.4,166,4.83,67.23,11,0.29,69.52,4,212,318,135,1.269,273
2026-09-03T21:52:14Z,1.59,198.8,166,6.16,67.48,11,0.22,69.79,5,216,324,135,2.796,283
2026-09-03T21:53:21Z,2.75,198.9,167,0.51,67.59,11,0.15,69.83,5,220,330,135,2.252,293
2026-09-03T21:54:28Z,4.99,199,166,0.55,67.65,11,0.26,70,5,224,336,135,1.771,302
2026-09-03T21:55:35Z,1.77,199.1,165,5.26,67.78,11,0.14,70.28,5,230,345,135,3.903,311
2026-09-03T21:56:41Z,1.43,199.2,166,4.47,67.83,11,0.15,70.42,5,234,351,135,1.580,320
2026-09-03T21:57:48Z,5.41,199.3,166,5.37,67.83,11,0.38,70.55,5,238,357,135,2.017,329
2026-09-03T21:58:55Z,47.97,206.9,166,4.33,67.89,11,0.12,70.7,6,242,363,135,2.266,337
2026-09-03T22:00:01Z,1.24,196,165,1.18,67.94,11,0.14,70.96,6,246,369,135,1.674,346
2026-09-03T22:01:08Z,14.48,196,167,0.51,68.77,11,0.50,71.1,6,252,378,135,8.607,355
2026-09-03T22:02:15Z,1.44,196.3,166,5.90,69.19,11,0.16,71.28,6,256,384,135,1.391,363
2026-09-03T22:03:22Z,1.49,196.4,167,8.27,69.34,11,0.12,71.46,6,260,390,135,4.452,372
2026-09-03T22:04:28Z,5.52,200.6,166,5.05,69.6,11,0.17,71.59,6,264,396,135,4.252,382
2026-09-03T22:05:35Z,1.81,200.7,165,0.59,69.7,11,0.11,71.84,6,270,405,135,1.054,392
2026-09-03T22:06:42Z,1.49,200.8,166,4.44,69.79,11,23.46,72,7,274,411,135,2.387,401
2026-09-03T22:07:48Z,8.65,200.9,167,4.46,69.8,11,0.14,72.14,7,278,417,135,1.321,410
2026-09-03T22:08:55Z,4.86,201,166,3.32,68.16,11,0.25,72.27,7,282,423,135,1.525,419
2026-09-03T22:10:02Z,1.96,201.1,166,10.04,66.25,11,0.16,72.54,7,286,429,135,2.976,428
2026-09-03T22:11:08Z,5.88,201.3,167,0.36,67.33,11,0.17,72.67,7,292,438,135,1.464,437
2026-09-03T22:12:15Z,1.36,201.4,166,0.44,67.27,11,0.29,72.82,7,296,444,135,2.646,446
2026-09-03T22:13:22Z,1.83,201.7,167,2.21,69.38,11,0.15,72.95,8,300,450,135,5.070,455
2026-09-03T22:14:28Z,1.45,201.8,165,4.75,67.54,11,0.14,73.09,8,304,456,135,1.608,463
2026-09-03T22:15:35Z,20.77,202,166,5.58,67.88,11,0.37,73.34,8,310,465,135,2.092,472
