ts,subscribers_with_data,consumed_mb_total,applied_mb_per_5s,produced_mb_per_5s,lag_ticks
2026-09-02T18:02:26Z,1110,1225575,25375,27750,0.09
2026-09-02T18:02:31Z,1110,1251725,26150,27750,0.06
2026-09-02T18:02:36Z,1110,1277900,26175,27750,0.06
2026-09-02T18:02:41Z,1110,1304350,26450,27750,0.05
2026-09-02T18:02:46Z,1110,1329475,25125,27750,0.09
2026-09-02T18:02:51Z,1110,1356500,27025,27750,0.03
2026-09-02T18:02:56Z,1110,1384175,27675,27750,0.0
2026-09-02T18:03:02Z,1110,1409925,25750,27750,0.07
2026-09-02T18:03:07Z,1110,1435650,25725,27750,0.07
2026-09-02T18:03:12Z,1110,1463050,27400,27750,0.01
2026-09-02T18:03:17Z,1110,1489325,26275,27750,0.05
2026-09-02T18:03:22Z,1110,1514675,25350,27750,0.09
2026-09-02T18:03:27Z,1110,1540400,25725,27750,0.07
2026-09-02T18:03:32Z,1110,1567600,27200,27750,0.02
2026-09-02T18:03:37Z,1110,1594075,26475,27750,0.05
2026-09-02T18:03:43Z,1110,1618100,24025,27750,0.13
2026-09-02T18:03:48Z,1110,1644650,26550,27750,0.04
2026-09-02T18:03:53Z,1110,1671125,26475,27750,0.05
2026-09-02T18:03:58Z,1110,1697100,25975,27750,0.06
2026-09-02T18:04:03Z,1110,1723350,26250,27750,0.05
2026-09-02T18:04:08Z,1110,1751075,27725,27750,0.0
2026-09-02T18:04:13Z,1110,1777600,26525,27750,0.04
2026-09-02T18:04:19Z,1110,1802600,25000,27750,0.1
2026-09-02T18:04:24Z,1110,1829375,26775,27750,0.04
2026-09-02T18:04:29Z,1110,1854525,25150,27750,0.09
2026-09-02T18:04:34Z,1110,1880325,25800,27750,0.07
2026-09-02T18:04:39Z,1110,1905275,24950,27750,0.1
2026-09-02T18:04:44Z,1110,1931850,26575,27750,0.04
2026-09-02T18:04:49Z,1110,1957425,25575,27750,0.08
2026-09-02T18:04:54Z,1110,1984000,26575,27750,0.04
2026-09-02T18:05:00Z,1110,2008875,24875,27750,0.1
2026-09-02T18:05:05Z,1110,2040275,31400,27750,-0.13
