ts,server_cpu_pct,server_mem_mib,server_fds,postgres_cpu_pct,postgres_mem_mib,postgres_connections,broker_cpu_pct,broker_mem_mib,broker_disk_mib,outbox_rows,ledger_rows,usage_rows,gc_last_pause_ms,gc_lines
2026-09-02T15:40:13Z,0.47,420.1,155,34.28,68.96,11,0.11,93.64,26,1111,2813,1449,786
2026-09-02T15:40:30Z,87.40,423.1,356,52.97,70.5,11,0.05,94.18,27,1171,2903,1539,796
2026-09-02T15:40:47Z,89.74,425.2,355,35.15,70.95,11,0.01,94.29,27,1171,2903,1539,817
2026-09-02T15:41:04Z,80.03,425.2,356,52.88,70.93,11,0.01,94.77,28,1171,2903,1539,837
2026-09-02T15:41:21Z,91.90,425.5,355,50.10,70.61,11,0.36,95.18,28,1171,2903,1539,857
2026-09-02T15:41:42Z,87.09,425.7,355,55.53,70.62,11,0.04,95.7,29,1171,2903,1539,5.595,883
2026-09-02T15:41:59Z,86.89,424.7,154,38.73,70.8,11,0.13,96.62,29,1171,2903,1539,4.801,897
2026-09-02T15:42:16Z,69.22,426.6,356,59.14,71.4,11,0.01,96.55,29,1231,2993,1629,7.885,908
2026-09-02T15:42:34Z,89.94,428.3,356,54.75,71.57,11,0.01,97.29,30,1231,2993,1629,6.619,941
2026-09-02T15:42:51Z,98.73,429.1,356,64.20,71.28,11,0.01,97.49,30,1231,2993,1629,9.366,976
2026-09-02T15:43:08Z,101.22,428.6,355,59.96,71.43,11,0.04,97.92,31,1231,2993,1629,9.053,1010
2026-09-02T15:43:27Z,99.48,428.7,355,61.65,71.52,11,0.02,98.7,31,1231,2993,1629,9.276,1045
2026-09-02T15:43:45Z,97.51,428.7,355,40.94,71.25,11,0.02,98.78,32,1231,2993,1629,5.951,1070
2026-09-02T15:44:02Z,31.27,427.6,156,54.33,73.03,11,0.01,99.32,32,1291,3083,1719,8.450,1078
2026-09-02T15:44:19Z,88.67,429.9,356,58.56,72.17,11,0.07,99.89,33,1291,3083,1719,8.764,1100
2026-09-02T15:44:36Z,95.63,429.9,356,57.20,72.12,11,0.01,101.3,33,1291,3083,1719,6.793,1122
2026-09-02T15:44:53Z,93.76,429.8,355,55.61,72.44,11,0.31,102.1,34,1291,3083,1719,8.956,1143
2026-09-02T15:45:10Z,94.93,429.7,355,51.42,72.38,11,0.01,102.7,34,1291,3083,1719,5.550,1165
2026-09-02T15:45:28Z,85.12,429.9,355,56.72,72.41,11,0.33,103.3,35,1291,3083,1719,7.968,1187
2026-09-02T15:45:45Z,28.63,429.1,154,15.07,72.4,11,0.17,103.9,35,1315,3122,1761,3.355,1191
2026-09-02T15:46:02Z,98.18,432.5,356,63.20,73.46,11,0.54,104.3,35,1351,3173,1809,31.232,1222
2026-09-02T15:46:19Z,100.45,430.4,356,59.46,73.55,11,0.01,104.5,36,1351,3173,1809,6.427,1257
2026-09-02T15:46:37Z,95.26,430.1,355,61.01,73.4,11,0.01,104.8,36,1351,3173,1809,8.817,1291
2026-09-02T15:46:55Z,97.08,430.3,355,54.30,73.38,11,0.01,105.5,37,1351,3173,1809,23.707,1325
2026-09-02T15:47:13Z,89.86,430.2,355,52.30,73.54,11,0.02,105.9,37,1351,3173,1809,9.113,1358
2026-09-02T15:47:30Z,26.46,429.4,155,39.13,73.57,11,0.01,106.4,38,1351,3173,1809,4.838,1365
2026-09-02T15:47:47Z,95.79,430.4,356,46.01,73.68,11,0.89,107.6,38,1411,3263,1899,11.878,1385
2026-09-02T15:48:04Z,90.24,430.2,355,53.54,73.95,11,0.01,107.7,39,1411,3263,1899,5.884,1406
2026-09-02T15:48:21Z,88.12,430.3,355,52.04,74,11,0.01,108.3,39,1411,3263,1899,8.764,1428
2026-09-02T15:48:39Z,92.33,430.1,355,51.99,73.88,11,0.21,108.9,40,1411,3263,1899,14.596,1449
2026-09-02T15:48:56Z,84.95,430.2,355,49.65,73.81,11,0.01,109.6,40,1411,3263,1899,6.783,1471
2026-09-02T15:49:13Z,25.94,429.1,154,38.97,73.57,11,0.63,110.3,41,1411,3263,1899,3.261,1482
2026-09-02T15:49:30Z,91.24,430.3,356,55.41,74.81,11,0.51,110.9,41,1471,3353,1989,7.828,1504
2026-09-02T15:49:48Z,82.00,430.2,356,56.20,74.84,11,13.28,123.4,42,1471,3353,1989,13.812,1537
2026-09-02T15:50:06Z,85.06,430.4,356,54.35,75,11,0.01,111.7,42,1471,3353,1989,20.309,1571
2026-09-02T15:50:23Z,68.98,431.2,355,59.71,74.93,11,0.32,112.2,43,1471,3353,1989,11.670,1603
2026-09-02T15:50:41Z,82.31,430.5,355,54.48,74.82,11,0.10,112.4,43,1471,3353,1989,15.026,1636
2026-09-02T15:50:58Z,26.76,429.6,154,37.48,74.82,11,0.10,113.2,44,1471,3353,1989,7.645,1655
2026-09-02T15:51:15Z,22.72,429.6,155,55.56,75.21,11,0.30,113.9,44,1631,3515,1989,5.312,1660
2026-09-02T15:51:32Z,32.52,429.7,166,44.03,76.11,11,0.01,114.3,45,1880,3823,2169,5.199,1666
2026-09-02T15:51:48Z,30.85,429.7,165,43.22,76.3,11,0.06,114.9,46,1963,3989,2418,3.530,1671
2026-09-02T15:52:05Z,29.56,426.3,165,42.00,77.98,11,1.17,116.1,46,2047,4155,2559,2.653,1675
2026-09-02T15:52:22Z,35.49,426.4,164,45.95,76.86,11,0.02,116.5,47,2121,4303,2664,4.065,1680
2026-09-02T15:52:38Z,25.99,425.8,154,53.97,76.85,11,0.15,117.3,48,2231,4416,2664,2.952,1685
2026-09-02T15:52:55Z,54.19,426.1,156,50.13,79.04,11,0.01,117.9,48,2801,5015,2757,2.612,1693
2026-09-02T15:53:11Z,29.56,426.2,176,48.94,80.34,11,1.06,119.2,49,2967,5347,3255,2.493,1698
2026-09-02T15:53:28Z,33.42,426.3,175,40.85,81.19,11,0.13,119.7,50,3134,5679,3621,2.707,1703
2026-09-02T15:53:45Z,31.59,426.3,174,49.31,81.08,11,0.01,120.8,51,3299,6011,3744,2.686,1709
2026-09-02T15:54:01Z,25.54,426.2,155,43.08,81.59,11,1.30,122.5,53,3372,6155,3792,2.208,1713
2026-09-02T15:54:18Z,53.31,426.5,156,58.63,82.04,11,0.05,123.5,54,3776,6562,3792,2.493,1720
2026-09-02T15:54:35Z,53.30,426.5,155,56.41,83.95,11,0.01,124.5,55,4447,7233,3792,2.376,1729
2026-09-02T15:54:51Z,38.47,426.9,195,49.56,85.16,11,0.96,125.8,56,4871,7907,4551,3.400,1736
2026-09-02T15:55:08Z,35.59,426.9,195,49.13,86,11,0.08,127.2,57,5205,8577,4977,3.328,1743
2026-09-02T15:55:25Z,39.55,426.6,195,46.14,85.46,11,0.01,128.3,59,5538,9243,5166,4.347,1749
2026-09-02T15:55:41Z,37.48,427.1,195,57.30,91.13,12,0.01,129.7,60,5823,9807,5313,5.588,1756
2026-09-02T15:55:58Z,23.21,426.9,155,55.60,88.3,11,0.05,131.8,62,5973,9961,5313,3.901,1761
2026-09-02T15:56:15Z,50.29,426.7,155,55.04,86.55,11,0.01,133.4,63,6635,10623,5313,2.933,1770
2026-09-02T15:56:32Z,52.97,426.7,156,62.34,88.04,11,0.11,134.9,64,7304,11291,5313,2.663,1779
2026-09-02T15:56:48Z,48.06,427,156,60.55,89.76,11,0.97,137.6,66,7983,11969,5313,3.088,1788
2026-09-02T15:57:05Z,31.55,427.1,154,40.98,89.23,11,0.13,139.6,68,8237,12221,5313,6.223,1794
2026-09-02T15:57:22Z,26.42,427.1,155,41.51,89.02,11,0.02,140.9,69,8237,12221,5313,3.055,1798
2026-09-02T15:57:38Z,28.54,427.3,155,42.15,87.17,11,0.12,142.2,70,8237,12221,5313,2.503,1803
2026-09-02T15:57:55Z,26.50,427,155,42.24,87.1,11,31.59,144.2,72,8237,12221,5313,3.340,1807
