scenario,round,rate,method,route,status,count,p50_ms,p95_ms,max_ms
purchase,1,40,POST,/api/v1/auth/otp/verify,2,2450,6.362035454730863,11.344426629163364,49
purchase,1,40,POST,/api/v1/auth/otp/request,2,2450,2.0142846394984324,4.210237439999998,20
purchase,1,40,POST,/api/v1/top-ups,2,2450,12.183515977427469,18.402396835026245,63
purchase,1,40,GET,/api/v1/dev/otp/[msisdn],2,2450,0.6478053939714437,1.177079107505071,10
purchase,1,40,POST,/api/v1/purchases/{orderId}/confirm,2,2401,13.728320017536758,23.74538845087403,71
purchase,1,40,POST,/api/v1/purchases,2,2401,10.054561207971327,19.1632534344705,82
purchase,1,40,GET,/health,2,27,0.5192307692307693,0.9865384615384615,1
purchase,1,80,POST,/api/v1/top-ups,2,4847,10.227404420683543,16.32847998029719,94
purchase,1,80,POST,/api/v1/auth/otp/verify,2,4846,5.220970054892306,10.047302115383447,59
purchase,1,80,POST,/api/v1/auth/otp/request,2,4846,1.7583477927063338,3.4845987610746256,30
purchase,1,80,GET,/api/v1/dev/otp/[msisdn],2,4846,0.5408482142857143,1.0859027777777777,30
purchase,1,80,POST,/api/v1/purchases/{orderId}/confirm,2,4801,16.018709558509638,53.18079653913596,181
purchase,1,80,POST,/api/v1/purchases,2,4801,11.99912740894205,49.64901750219114,158
purchase,1,80,GET,/health,2,37,0.5441176470588235,1.0766666666666667,1
purchase,1,160,POST,/api/v1/auth/otp/verify,2,9650,5.094291045606969,9.759744129910597,64
purchase,1,160,POST,/api/v1/auth/otp/request,2,9650,1.1889933411672542,3.410155758139534,52
purchase,1,160,POST,/api/v1/top-ups,2,9650,10.12332045555857,15.512634222476668,83
purchase,1,160,GET,/api/v1/dev/otp/[msisdn],2,9650,0.5315632918365099,1.0395196506550217,23
purchase,1,160,POST,/api/v1/purchases/{orderId}/confirm,2,9259,175.4801869202275,362.39271575011463,799
purchase,1,160,POST,/api/v1/purchases,2,9259,155.53570936187003,335.9517461226749,693
purchase,1,160,GET,/health,2,60,0.5454545454545454,1.08,1
purchase,2,40,POST,/api/v1/auth/otp/verify,2,2450,5.061287007842363,9.928449353318396,60
purchase,2,40,POST,/api/v1/auth/otp/request,2,2450,1.1996740016299918,3.4802854054054047,27
purchase,2,40,POST,/api/v1/top-ups,2,2450,10.140860682616863,16.353452899882377,94
purchase,2,40,GET,/api/v1/dev/otp/[msisdn],2,2450,0.5401234567901234,1.082638888888889,13
purchase,2,40,POST,/api/v1/purchases/{orderId}/confirm,2,2401,13.094477576755969,24.094116619201117,92
purchase,2,40,POST,/api/v1/purchases,2,2401,9.463672449275547,19.30719903603878,72
purchase,2,40,GET,/health,2,25,0.5434782608695652,1.15,2
purchase,2,80,POST,/api/v1/purchases/{orderId}/confirm,2,4801,15.974843378115532,52.61975849146072,184
purchase,2,80,POST,/api/v1/purchases,2,4801,11.67358057496551,47.02015350737002,245
purchase,2,80,POST,/api/v1/top-ups,2,4793,10.30352341540354,17.145100170595093,151
purchase,2,80,POST,/api/v1/auth/otp/verify,2,4792,5.206206157850669,9.901374578598624,80
purchase,2,80,POST,/api/v1/auth/otp/request,2,4792,1.7436112149532708,3.5125125119999985,34
purchase,2,80,GET,/api/v1/dev/otp/[msisdn],2,4792,0.5400045075501465,1.0804181184668986,33
purchase,2,80,GET,/health,2,36,0.5454545454545454,1.1199999999999997,2
purchase,2,160,POST,/api/v1/auth/otp/verify,2,9650,5.135067164435259,10.065808137636374,199
purchase,2,160,POST,/api/v1/auth/otp/request,2,9650,1.194751715785224,3.501090243086816,32
purchase,2,160,POST,/api/v1/top-ups,2,9650,10.194681383284815,16.917414837144168,114
purchase,2,160,GET,/api/v1/dev/otp/[msisdn],2,9650,0.5361111111111111,1.0636882129277567,15
purchase,2,160,POST,/api/v1/purchases/{orderId}/confirm,2,9171,184.84918907732887,378.81953369500985,928
purchase,2,160,POST,/api/v1/purchases,2,9171,161.02031514582137,335.70566387142287,905
purchase,2,160,GET,/health,2,61,0.5258620689655172,0.9991379310344827,1
