scenario,round,rate,method,route,status,count,p50_ms,p95_ms,max_ms
screens,1,400,GET,/api/v1/screens/plans/{planId},2,11883,7.131963064319997,112.07227305184921,600
screens,1,400,GET,/api/v1/screens/home,2,11859,25.441394625806243,339.5724687075654,1428
screens,1,400,GET,/api/v1/screens/plans,2,11800,5.713098902905261,111.33299636578397,646
screens,1,400,GET,/health,2,18,0.6428571428571429,5.262975959039996,6
screens,1,400,POST,/api/v1/purchases/{orderId}/confirm,2,10,24.40472217414479,42.1713599169222,44
screens,1,400,POST,/api/v1/auth/otp/verify,2,9,10.402117189631994,35.46227993013911,37
screens,1,400,POST,/api/v1/auth/otp/request,2,9,4.729798655999998,20.522152737349025,19
screens,1,400,POST,/api/v1/top-ups,2,9,13.267157467004921,21.35413190237669,21
screens,1,400,GET,/api/v1/dev/otp/[msisdn],2,9,1.8143999999999998,14.25149495649238,15
screens,1,400,POST,/api/v1/purchases,2,9,13.267157467004921,21.35413190237669,20
screens,1,800,GET,/api/v1/screens/home,2,23771,8.049624811222216,141.8593908453252,528
screens,1,800,GET,/api/v1/screens/plans/{planId},2,23683,1.1921690307328605,48.53480403529523,248
screens,1,800,GET,/api/v1/screens/plans,2,23599,1.1840273259596616,46.89353834067731,223
screens,1,800,GET,/health,2,17,0.5,0.95,0
screens,2,400,GET,/api/v1/screens/home,2,12074,3.114379562741651,7.138369939350426,57
screens,2,400,GET,/api/v1/screens/plans/{planId},2,11968,0.7971226854935394,1.9454868837209305,40
screens,2,400,GET,/api/v1/screens/plans,2,11959,0.7208559373116336,1.863926153846153,39
screens,2,400,POST,/api/v1/auth/otp/verify,2,24,9.312371579289596,14.893454188766807,17
screens,2,400,POST,/api/v1/top-ups,2,24,12.839184645488633,18.28299893517581,26
screens,2,400,POST,/api/v1/purchases/{orderId}/confirm,2,24,14.306520033544476,26.327518466653164,30
screens,2,400,POST,/api/v1/purchases,2,24,11.412608573767674,19.967499960663915,19
screens,2,400,POST,/api/v1/auth/otp/request,2,23,3.5234611199999994,6.718034018303996,7
screens,2,400,GET,/api/v1/dev/otp/[msisdn],2,23,1.0555555555555556,3.239792639999999,3
screens,2,400,GET,/health,2,19,0.5588235294117647,3.619012608,4
screens,2,800,GET,/api/v1/screens/plans/{planId},2,24040,1.162781954887218,44.95452221913166,316
screens,2,800,GET,/api/v1/screens/home,2,23984,6.694991711526573,141.00982410672785,504
screens,2,800,GET,/api/v1/screens/plans,2,23719,1.1382984901277584,44.149140788025946,306
screens,2,800,GET,/health,2,18,0.5,0.9499999999999998,0
