scenario,round,rate,method,route,status,count,p50_ms,p95_ms,max_ms
screens,1,400,GET,/api/v1/screens/plans,2,12063,1.0220764071157773,19.801907972262292,277
screens,1,400,GET,/api/v1/screens/home,2,12001,3.4647692045404606,63.76567592073629,435
screens,1,400,GET,/api/v1/screens/plans/{planId},2,11936,1.0612054120541206,20.655781954174113,252
screens,1,400,GET,/health,2,19,0.5588235294117647,1.74528,2
screens,1,400,POST,/api/v1/auth/otp/verify,2,12,13.481143877763063,34.50383993202724,36
screens,1,400,POST,/api/v1/top-ups,2,12,16.43415634622545,59.62263540254307,60
screens,1,400,POST,/api/v1/purchases/{orderId}/confirm,2,12,20.337268478453993,49.68552950211923,48
screens,1,400,POST,/api/v1/purchases,2,12,16.43415634622545,49.68552950211923,48
screens,1,400,POST,/api/v1/auth/otp/request,2,11,4.729798655999998,34.82331993139787,34
screens,1,400,GET,/api/v1/dev/otp/[msisdn],2,11,1.1166666666666667,3.254722559999999,3
screens,2,400,GET,/api/v1/screens/home,2,12092,3.1292897629718386,8.471447376805498,75
screens,2,400,GET,/api/v1/screens/plans,2,11796,0.7922095366017461,1.9625313103448265,53
screens,2,400,GET,/api/v1/screens/plans/{planId},2,11742,0.889949977262392,2.0171618884120166,51
screens,2,400,GET,/health,2,17,0.53125,3.0755635199999984,3
screens,3,400,GET,/api/v1/screens/home,2,12080,3.116117872384815,8.214700546326524,101
screens,3,400,GET,/api/v1/screens/plans,2,11976,0.759416613823716,1.9543269656992073,72
screens,3,400,GET,/api/v1/screens/plans/{planId},2,11945,0.8624548736462094,2.044498744769874,76
screens,3,400,POST,/api/v1/purchases/{orderId}/confirm,2,28,16.43415634622545,29.46315549751298,30
screens,3,400,POST,/api/v1/purchases,2,28,12.839184645488633,21.81634254961428,46
screens,3,400,POST,/api/v1/auth/otp/verify,2,27,8.049257349119996,13.673731647445392,15
screens,3,400,POST,/api/v1/auth/otp/request,2,27,3.717550079999999,6.119499497471997,20
screens,3,400,POST,/api/v1/top-ups,2,27,14.356542830864562,20.891921255139096,23
screens,3,400,GET,/api/v1/dev/otp/[msisdn],2,27,0.9642857142857143,1.9526399999999993,3
screens,3,400,GET,/health,2,19,0.5277777777777778,1.0100000000000002,1
