scenario,round,rate,method,route,status,count,p50_ms,p95_ms,max_ms
screens,1,800,GET,/api/v1/screens/home,2,24056,3.555374127125067,53.07472823483646,357
screens,1,800,GET,/api/v1/screens/plans,2,23980,0.9166666666666666,14.841931247147377,178
screens,1,800,GET,/api/v1/screens/plans/{planId},2,23965,0.9684393437323203,14.445163465622985,183
screens,1,800,GET,/health,2,18,0.5294117647058824,1.0199999999999996,1
screens,1,800,POST,/api/v1/auth/otp/verify,2,14,4.729798655999998,13.609535724217947,15
screens,1,800,POST,/api/v1/top-ups,2,14,8.173092077567997,16.331442869061537,16
screens,1,800,POST,/api/v1/purchases/{orderId}/confirm,2,14,10.189829083721138,13.609535724217947,13
screens,1,800,POST,/api/v1/purchases,2,14,7.430083706879997,11.341279770181623,12
screens,1,800,POST,/api/v1/auth/otp/request,2,13,1.8359999999999999,3.8340034559999987,4
screens,1,800,GET,/api/v1/dev/otp/[msisdn],2,13,0.5416666666666666,1.0699999999999998,1
screens,1,1600,GET,/api/v1/screens/plans/{planId},2,41865,12.470830927157307,75.24160898680617,522
screens,1,1600,GET,/api/v1/screens/plans,2,41564,11.994344877342485,75.09759842736162,531
screens,1,1600,GET,/api/v1/screens/home,2,41512,74.3706755640202,194.27289159964891,698
screens,1,1600,POST,/api/v1/auth/otp/verify,2,30,6.191736422399997,10.476418026700795,11
screens,1,1600,POST,/api/v1/auth/otp/request,2,30,1.9501714285714284,3.762339839999999,4
screens,1,1600,POST,/api/v1/top-ups,2,30,12.227794900465366,21.261689772929174,31
screens,1,1600,GET,/api/v1/dev/otp/[msisdn],2,30,0.5769230769230769,1.125,1
screens,1,1600,POST,/api/v1/purchases/{orderId}/confirm,2,30,12.839184645488633,19.412847183978812,20
screens,1,1600,POST,/api/v1/purchases,2,30,9.629388484116475,20.337268478453993,28
screens,1,1600,GET,/health,2,18,0.5294117647058824,1.0199999999999996,1
screens,2,800,GET,/api/v1/screens/plans/{planId},2,24236,1.0628847530422334,19.444412789156022,185
screens,2,800,GET,/api/v1/screens/plans,2,23966,1.0341463414634147,19.461021251437387,238
screens,2,800,GET,/api/v1/screens/home,2,23799,4.214986039892182,68.40618966840219,303
screens,2,800,GET,/health,2,19,0.5,0.9500000000000001,0
screens,2,800,POST,/api/v1/purchases/{orderId}/confirm,2,12,11.412608573767674,16.639583300553262,17
screens,2,800,POST,/api/v1/auth/otp/verify,2,11,5.2887748607999985,11.66225938631884,11
screens,2,800,POST,/api/v1/auth/otp/request,2,11,1.8623999999999998,2.05248,2
screens,2,800,POST,/api/v1/top-ups,2,11,10.476418026700795,12.603799593654674,11
screens,2,800,GET,/api/v1/dev/otp/[msisdn],2,11,0.5,0.95,0
screens,2,800,POST,/api/v1/purchases,2,11,7.677753163775996,11.66225938631884,12
screens,2,1600,GET,/api/v1/screens/plans,2,42101,13.372327469781121,70.59728721920351,336
screens,2,1600,GET,/api/v1/screens/plans/{planId},2,41805,13.951248738703235,70.96311243739854,316
screens,2,1600,GET,/api/v1/screens/home,2,41523,76.69080329685335,190.6243301482645,609
screens,2,1600,POST,/api/v1/auth/otp/verify,2,30,5.847751065599998,14.123103110037496,16
screens,2,1600,POST,/api/v1/auth/otp/request,2,30,1.9180799999999998,5.675758387199998,7
screens,2,1600,POST,/api/v1/top-ups,2,30,11.310710282930463,30.61683327301801,36
screens,2,1600,GET,/api/v1/dev/otp/[msisdn],2,30,0.7142857142857143,3.2845823999999992,4
screens,2,1600,POST,/api/v1/purchases/{orderId}/confirm,2,30,13.095968338398405,20.337268478453993,25
screens,2,1600,POST,/api/v1/purchases,2,30,10.303049406873594,17.974858503684086,21
screens,2,1600,GET,/health,2,18,0.5294117647058824,1.0199999999999996,1
screens,3,800,GET,/api/v1/screens/home,2,24102,4.6890569501107855,82.43467098959358,314
screens,3,800,GET,/api/v1/screens/plans/{planId},2,23964,1.0790706051873198,22.806984745944632,177
screens,3,800,GET,/api/v1/screens/plans,2,23935,1.0581034130390354,23.328407120503055,202
screens,3,800,GET,/health,2,18,0.5294117647058824,1.0199999999999996,1
screens,3,800,POST,/api/v1/purchases/{orderId}/confirm,2,6,12.304218618593273,15.0218460352217,15
screens,3,800,POST,/api/v1/purchases,2,6,9.361905470668795,10.565579031183354,10
screens,3,800,POST,/api/v1/auth/otp/verify,2,5,4.944789503999998,12.304218618593273,11
screens,3,800,POST,/api/v1/auth/otp/request,2,5,1.1666666666666665,3.4338815999999994,3
screens,3,800,POST,/api/v1/top-ups,2,5,11.234286564802554,14.765062342311928,14
screens,3,800,GET,/api/v1/dev/otp/[msisdn],2,5,0.5,0.95,0
screens,3,1600,GET,/api/v1/screens/plans/{planId},2,41402,13.717716661267291,72.0556427728212,352
screens,3,1600,GET,/api/v1/screens/home,2,41284,77.22504705770038,194.45275322552354,543
screens,3,1600,GET,/api/v1/screens/plans,2,41204,12.6190416945779,71.77077146160627,391
screens,3,1600,POST,/api/v1/auth/otp/verify,2,30,5.469367173119998,10.253515515494396,18
screens,3,1600,POST,/api/v1/auth/otp/request,2,30,1.8815999999999997,3.5085311999999993,7
screens,3,1600,POST,/api/v1/top-ups,2,30,10.303049406873594,16.17737265331568,18
screens,3,1600,GET,/api/v1/dev/otp/[msisdn],2,30,0.625,3.941498879999999,9
screens,3,1600,POST,/api/v1/purchases/{orderId}/confirm,2,30,12.304218618593273,17.974858503684086,22
screens,3,1600,POST,/api/v1/purchases,2,30,9.564544117220068,16.17737265331568,18
screens,3,1600,GET,/health,2,18,0.5,0.9499999999999998,0
