scenario,round,rate,method,route,status,count,p50_ms,p95_ms,max_ms
screens,1,25,GET,/api/v1/screens/home,2,761,3.871328255999999,7.671561427353589,21
screens,1,25,GET,/api/v1/screens/plans,2,759,1.11843853820598,3.2627617476923056,18
screens,1,25,GET,/api/v1/screens/plans/{planId},2,731,1.137689393939394,3.3806181016216197,32
screens,1,25,POST,/api/v1/auth/otp/verify,2,30,8.916100448255996,37.272666593239315,43
screens,1,25,POST,/api/v1/auth/otp/request,2,30,3.4338815999999994,8.173092077567997,30
screens,1,25,POST,/api/v1/top-ups,2,30,12.45011844411019,24.40472217414479,40
screens,1,25,GET,/api/v1/dev/otp/[msisdn],2,30,1.0736842105263158,1.9007999999999998,2
screens,1,25,POST,/api/v1/purchases/{orderId}/confirm,2,30,14.551075931553784,33.545399933915384,35
screens,1,25,POST,/api/v1/purchases,2,30,10.550718863769594,16.17737265331568,18
screens,1,25,GET,/health,2,18,0.5625,1.1099999999999999,1
screens,1,50,GET,/api/v1/screens/plans/{planId},2,1552,1.1016191210485735,1.9500663829787228,41
screens,1,50,GET,/api/v1/screens/home,2,1479,3.501642630508474,6.479890309750149,65
screens,1,50,GET,/api/v1/screens/plans,2,1469,1.0923826395039857,1.9850399999999997,10
screens,1,50,GET,/health,2,19,0.5588235294117647,1.74528,2
screens,1,50,POST,/api/v1/auth/otp/verify,2,7,7.120496885759997,17.409934379282586,16
screens,1,50,POST,/api/v1/top-ups,2,7,15.920588960405905,20.8919212551391,22
screens,1,50,POST,/api/v1/purchases/{orderId}/confirm,2,7,16.17737265331568,30.0843666074003,30
screens,1,50,POST,/api/v1/purchases,2,7,11.234286564802554,20.8919212551391,21
screens,1,50,POST,/api/v1/auth/otp/request,2,6,3.2845823999999992,30.350599940209154,27
screens,1,50,GET,/api/v1/dev/otp/[msisdn],2,6,1.08,1.188,1
screens,1,100,GET,/api/v1/screens/home,2,3070,3.2775209513513506,5.544418523694543,33
screens,1,100,GET,/api/v1/screens/plans,2,2982,1.0264389626818469,1.196192283364959,17
screens,1,100,GET,/api/v1/screens/plans/{planId},2,2949,1.0678589420654911,1.7839799999999988,27
screens,1,100,POST,/api/v1/auth/otp/verify,2,30,6.466924707839997,10.476418026700795,11
screens,1,100,POST,/api/v1/auth/otp/request,2,30,2.032941176470588,4.514807807999999,5
screens,1,100,POST,/api/v1/top-ups,2,30,11.341279770181625,19.412847183978812,21
screens,1,100,GET,/api/v1/dev/otp/[msisdn],2,30,0.6818181818181818,1.9007999999999998,3
screens,1,100,POST,/api/v1/purchases/{orderId}/confirm,2,30,13.389435416009574,17.974858503684086,19
screens,1,100,POST,/api/v1/purchases,2,30,10.303049406873594,12.750023641006074,13
screens,1,100,GET,/health,2,19,0.5,0.9500000000000001,0
