variant,run,ready_ms,first_screen_ms,status
plain,1,2214,122ms,200
restore,1,151,34ms,200
plain,2,2375,126ms,200
restore,2,115,35ms,200
plain,3,2307,128ms,200
restore,3,130,31ms,200
plain,4,2327,117ms,200
restore,4,129,50ms,200
plain,5,2223,102ms,200
restore,5,123,27ms,200
plain,6,2141,108ms,200
restore,6,132,29ms,200
plain,7,2332,118ms,200
restore,7,136,31ms,200
plain,8,2175,118ms,200
restore,8,131,35ms,200
plain,9,2513,118ms,200
restore,9,141,33ms,200
plain,10,2477,103ms,200
restore,10,131,27ms,200
